ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,5.01556971483,,,,,,,,,,,,,,,,,,,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
,,,,,,,,,,,,,,,,,space,24.1456761505,,,,,,,,,,,,,,,,,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
,,,,,,,,,,,,,,,,,,,space,21.6467209677,,,,,,,,,,,,,,,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
,,,,,,,,,,,,,,,,,,,,,space,56.1385395168,,,,,,,,,,,,,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
,,,,,,,,,,,,,,,,,,,,,,,left,5.99872771231,,,,,,,,,,,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
,,,,,,,,,,,,,,,,,,,,,,,,,space,4.43444275111,,,,,,,,,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
10,109,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,left,1,18.4478410948,,,,,,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
25,35,150,,,,,0,1,1,1,,,,,,,,,,,,,,,,,right,0,5.36683930364,,,,,,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
10,19,89,,,,,0,2,2,2,,,,,,,,,,,,,,,,,right,0,4.49853571272,,,,,,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,145.222651858,,,,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
,,,5,0,105.0,60,,,,,0,0,0,48,,,,,,,,,,,,,,,,,,right,1,3.59964838577,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
,,,25,0,75.0,90,,,,,0,1,1,82,,,,,,,,,,,,,,,,,,right,1,3.31529032579,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
,,,25,0,75.0,31,,,,,0,2,2,72,,,,,,,,,,,,,,,,,,left,0,1.53379632579,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
,,,5,0,151.0,4,,,,,0,3,3,34,,,,,,,,,,,,,,,,,,right,1,1.78369929781,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
,,,10,0,40.0,10,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,right,1,4.6669850382,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
,,,5,0,56.0,9,,,,,0,5,5,37,,,,,,,,,,,,,,,,,,right,1,1.99991004029,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
,,,5,0,106.0,29,,,,,0,6,6,43,,,,,,,,,,,,,,,,,,right,1,1.53235080186,001,3.0.3,60.0594940593884,ninosDelConv2,2019_May_09_0811,101,
