ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,4.43343667574,,,,,,,,,,,,,,,,,,,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,,,,,,,,,,,,,,,space,5.21638831386,,,,,,,,,,,,,,,,,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,,,,,,,,,,,,,,,,,space,2.96669481981,,,,,,,,,,,,,,,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,,,,,,,,,,,,,,,,,,,space,5.08323030792,,,,,,,,,,,,,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,,,,,,,,,,,,,,,,,,,,,right,4.21590921358,,,,,,,,,,,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,,,,,,,,,,,,,,,,,,,,,,,space,3.26697914423,,,,,,,,,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
10,19,89,,,,,0,0,0,2,,,,,,,,,,,,,,,,,right,0,3.26556600403,,,,,,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
25,35,150,,,,,0,1,1,1,,,,,,,,,,,,,,,,,left,0,3.4835288717,,,,,,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
10,109,9,,,,,0,2,2,0,,,,,,,,,,,,,,,,,left,1,3.24977111652,,,,,,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,105.728859058,,,,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,10,0,20.0,59,,,,,0,0,0,15,,,,,,,,,,,,,,,,,,left,0,2.64937107807,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,5,0,150.0,30,,,,,0,1,1,44,,,,,,,,,,,,,,,,,,left,1,1.81667217563,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,5,0,36.0,9,,,,,0,2,2,36,,,,,,,,,,,,,,,,,,left,1,3.26862001128,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,5,0,15.0,61,,,,,0,3,3,45,,,,,,,,,,,,,,,,,,right,0,5.01559697591,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,10,0,149.0,61,,,,,0,4,4,19,,,,,,,,,,,,,,,,,,left,1,4.88294634334,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,25,0,125.0,4,,,,,0,5,5,63,,,,,,,,,,,,,,,,,,left,1,1.3168066013,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,25,0,35.0,60,,,,,0,6,6,75,,,,,,,,,,,,,,,,,,left,0,1.61721943975,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,5,0,56.0,89,,,,,0,7,7,52,,,,,,,,,,,,,,,,,,right,0,1.54996548113,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,25,0,55.0,151,,,,,0,8,8,86,,,,,,,,,,,,,,,,,,left,0,1.63331453602,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,5,0,35.0,89,,,,,0,9,9,51,,,,,,,,,,,,,,,,,,right,0,0.916852969162,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,5,0,15.0,11,,,,,0,10,10,35,,,,,,,,,,,,,,,,,,right,1,1.5983751715,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,25,0,75.0,5,,,,,0,11,11,62,,,,,,,,,,,,,,,,,,right,1,0.9499972498,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,10,0,151.0,151,,,,,0,12,12,29,,,,,,,,,,,,,,,,,,right,0,5.08287612328,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,10,0,59.0,9,,,,,0,13,13,7,,,,,,,,,,,,,,,,,,left,1,1.3165444327,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,5,0,149.0,59,,,,,0,14,14,49,,,,,,,,,,,,,,,,,,left,0,1.38308488146,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,25,0,125.0,59,,,,,0,15,15,78,,,,,,,,,,,,,,,,,,left,0,0.900135865025,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,25,0,35.0,5,,,,,0,16,16,60,,,,,,,,,,,,,,,,,,right,1,2.18331240268,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,10,0,40.0,91,,,,,0,17,17,21,,,,,,,,,,,,,,,,,,left,0,2.70063120948,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,10,0,110.0,90,,,,,0,18,18,23,,,,,,,,,,,,,,,,,,left,0,3.73293449435,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,25,0,125.0,9,,,,,0,19,19,68,,,,,,,,,,,,,,,,,,right,1,0.816929203681,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,5,0,104.0,90,,,,,0,20,20,53,,,,,,,,,,,,,,,,,,left,0,1.18449678792,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,25,0,125.0,31,,,,,0,21,21,73,,,,,,,,,,,,,,,,,,right,0,2.05143748075,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,10,0,111.0,30,,,,,0,22,22,13,,,,,,,,,,,,,,,,,,right,1,4.34939210297,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,25,0,150.0,150,,,,,0,23,23,89,,,,,,,,,,,,,,,,,,left,0,3.26661159412,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,25,0,35.0,90,,,,,0,24,24,80,,,,,,,,,,,,,,,,,,right,0,0.683857045113,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,5,0,14.0,31,,,,,0,25,25,40,,,,,,,,,,,,,,,,,,right,0,3.06700566952,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,25,0,75.0,31,,,,,0,26,26,72,,,,,,,,,,,,,,,,,,left,0,2.23373924916,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,25,0,150.0,29,,,,,0,27,27,74,,,,,,,,,,,,,,,,,,right,0,2.48319422119,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,5,0,54.0,5,,,,,0,28,28,32,,,,,,,,,,,,,,,,,,right,1,1.80009026825,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,5,0,106.0,29,,,,,0,29,29,43,,,,,,,,,,,,,,,,,,right,0,2.91526864828,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,5,0,14.0,149,,,,,0,30,30,55,,,,,,,,,,,,,,,,,,right,0,1.04976525629,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,5,0,35.0,31,,,,,0,31,31,41,,,,,,,,,,,,,,,,,,right,0,0.933480627539,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,10,0,109.0,149,,,,,0,32,32,28,,,,,,,,,,,,,,,,,,right,0,1.64999514217,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,5,0,36.0,61,,,,,0,33,33,46,,,,,,,,,,,,,,,,,,left,0,0.900205776654,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,10,0,19.0,11,,,,,0,34,34,5,,,,,,,,,,,,,,,,,,left,0,1.23325963482,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,10,0,150.0,5,,,,,0,35,35,4,,,,,,,,,,,,,,,,,,left,0,8.44817877637,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,10,0,39.0,6,,,,,0,36,36,1,,,,,,,,,,,,,,,,,,right,1,1.38357169258,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,10,0,40.0,10,,,,,0,37,37,6,,,,,,,,,,,,,,,,,,right,0,1.13356873675,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,10,0,109.0,5,,,,,0,38,38,3,,,,,,,,,,,,,,,,,,right,0,3.14960368846,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
,,,25,0,35.0,11,,,,,0,39,39,65,,,,,,,,,,,,,,,,,,right,0,1.81663053709,,,001,3.0.3,59.997563473038944,ninosDelConv2,2019_May_09_0806,106,
