key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,trials.order
space,3.267385,space,19.591575,space,0.74579,space,8.234445,right,7.734625,space,4.72194,right,0.0,0.31756,0.0,0.0,0.0,1.0,1.0,25000.0,35000.0,150.0,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,3.56496,0.0,1.0,1.0,2.0,1.0,10000.0,19000.0,89.0,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1.0,5.0224,0.0,2.0,2.0,0.0,1.0,10000.0,109000.0,9.0,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,g,6.958435,right,1.0,1.97531,0.0,0.0,0.0,54.0,1.0,5000.0,0.0,150000.0,90.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.922745,0.0,1.0,1.0,59.0,1.0,5000.0,0.0,151000.0,150.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.79334,0.0,2.0,2.0,58.0,1.0,5000.0,0.0,106000.0,152.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,6.25626,0.0,3.0,3.0,23.0,1.0,10000.0,0.0,110000.0,90.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,4.25493,0.0,4.0,4.0,46.0,1.0,5000.0,0.0,36000.0,61.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,2.49135,0.0,5.0,5.0,51.0,1.0,5000.0,0.0,35000.0,89.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.209625,0.0,6.0,6.0,31.0,1.0,5000.0,0.0,35000.0,6.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.21761,0.0,7.0,7.0,60.0,1.0,25000.0,0.0,35000.0,5.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,5.14496,0.0,8.0,8.0,82.0,1.0,25000.0,0.0,75000.0,90.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,5.24574,0.0,9.0,9.0,69.0,1.0,25000.0,0.0,150000.0,9.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.80441,0.0,10.0,10.0,53.0,1.0,5000.0,0.0,104000.0,90.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.737135,0.0,11.0,11.0,30.0,1.0,5000.0,0.0,16000.0,4.0,
