ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro1.started,intro1.stopped,key1.keys,key1.rt,key1.started,key1.stopped,intro2.started,intro2.stopped,key2.keys,key2.rt,key2.started,key2.stopped,intro2_2.started,intro2_2.stopped,key2_2.keys,key2_2.rt,key2_2.started,key2_2.stopped,Intro2_3.started,Intro2_3.stopped,key2_3.keys,key2_3.rt,key2_3.started,key2_3.stopped,key3.keys,key3.rt,key3.started,key3.stopped,intro3.started,intro3.stopped,ss_am.started,ss_am.stopped,ss_del.started,ss_del.stopped,ll_am.started,ll_am.stopped,ll_del.started,ll_del.stopped,Intro4.started,Intro4.stopped,key4.keys,key4.rt,key4.started,key4.stopped,pregunta.started,pregunta.stopped,ssAm_P.started,ssAm_P.stopped,ssDel_P.started,ssDel_P.stopped,llAm_P.started,llAm_P.stopped,llDel_P.started,llDel_P.stopped,respP.keys,respP.corr,respP.rt,respP.started,respP.stopped,feedbackP.started,feedbackP.stopped,comienzo.started,comienzo.stopped,key5.keys,key5.rt,key5.started,key5.stopped,preguntaT.started,preguntaT.stopped,ssAm_T.started,ssAm_T.stopped,ssDel_T.started,ssDel_T.stopped,llAm_T.started,llAm_T.stopped,llDel_T.started,llDel_T.stopped,respT.keys,respT.corr,respT.rt,respT.started,respT.stopped,textfbT.started,textfbT.stopped,session,participant,date,expName,psychopyVersion,frameRate,Unnamed: 105
,,,,,,,,,,,,,,,19.84177839999029,None,space,9.873734399996463,20.31253419999848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,,,,,,,,,,,,,,,,,,,30.211196499993093,None,space,27.367655599999125,30.727870499991692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,58.12125769999693,None,space,39.876195800010464,58.637570799997775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.53165729998727,None,space,4.632931000000099,99.0485733999958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,6.876271600005566,104.21263559999352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.71215329998812,None,103.71215329998812,None,103.71215329998812,None,103.71215329998812,None,103.71215329998812,None,111.11073609998856,None,space,2.725468600008753,111.6282591999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
25.0,35.0,150.0,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.6280676999886,None,114.6280676999886,None,114.6280676999886,None,114.6280676999886,None,114.6280676999886,None,left,1.0,6.041159800006426,115.12828479999736,None,121.204579199999,None,,,,,,,,,,,,,,,,,,,,,,,,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
10.0,19.0,89.0,,,,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.2132891999936,None,124.2132891999936,None,124.2132891999936,None,124.2132891999936,None,124.2132891999936,None,left,0.0,3.1650016000057803,124.70955959999992,None,127.89774389998638,None,,,,,,,,,,,,,,,,,,,,,,,,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
10.0,109.0,9.0,,,,,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.90967749999254,None,130.90967749999254,None,130.90967749999254,None,130.90967749999254,None,130.90967749999254,None,left,1.0,3.946600999988732,131.40775429998757,None,135.38115229998948,None,,,,,,,,,,,,,,,,,,,,,,,,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.37236389999453,None,g,47.299512600002345,138.89104899999802,None,,,,,,,,,,,,,,,,,,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
