ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,16.3972954481,,,,,,,,,,,,,,,,,,,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,,,,,,,,,,,,,,,space,27.5116832098,,,,,,,,,,,,,,,,,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,,,,,,,,,,,,,,,,,space,21.9795513627,,,,,,,,,,,,,,,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,,,,,,,,,,,,,,,,,,,space,13.7310910892,,,,,,,,,,,,,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,,,,,,,,,,,,,,,,,,,,,space,19.1965848169,,,,,,,,,,,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.16647192508,,,,,,,,,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
25,35,150,,,,,0,0,0,1,,,,,,,,,,,,,,,,,None,0,,,,,,,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
10,19,89,,,,,0,1,1,2,,,,,,,,,,,,,,,,,right,0,9.51509140174,,,,,,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
10,109,9,,,,,0,2,2,0,,,,,,,,,,,,,,,,,right,1,4.23287306464,,,,,,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,77.7355243089,,,,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,10,0,21.0,31,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,right,0,9.51548105626,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,5,0,106.0,152,,,,,0,1,1,58,,,,,,,,,,,,,,,,,,left,0,18.3634206937,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,10,0,60.0,60,,,,,0,2,2,17,,,,,,,,,,,,,,,,,,left,0,9.79790861419,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,5,0,56.0,29,,,,,0,3,3,42,,,,,,,,,,,,,,,,,,left,0,7.482376872,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,10,0,61.0,4,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,right,1,4.84966223945,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,25,0,150.0,61,,,,,0,5,5,79,,,,,,,,,,,,,,,,,,right,0,9.03221075477,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,10,0,150.0,5,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,left,1,4.79934694314,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,5,0,14.0,31,,,,,0,7,7,40,,,,,,,,,,,,,,,,,,left,0,15.4306957287,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,25,0,75.0,5,,,,,0,8,8,62,,,,,,,,,,,,,,,,,,left,0,12.7981327426,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,25,0,150.0,4,,,,,0,9,9,64,,,,,,,,,,,,,,,,,,left,1,8.9653778081,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,25,0,150.0,89,,,,,0,10,10,84,,,,,,,,,,,,,,,,,,left,0,5.7990780918,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,10,0,39.0,6,,,,,0,11,11,1,,,,,,,,,,,,,,,,,,right,0,7.46571014536,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,10,0,61.0,89,,,,,0,12,12,22,,,,,,,,,,,,,,,,,,right,0,3.03366656163,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,5,0,56.0,9,,,,,0,13,13,37,,,,,,,,,,,,,,,,,,right,1,8.49909294802,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,10,0,149.0,89,,,,,0,14,14,24,,,,,,,,,,,,,,,,,,right,0,13.3142933811,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
,,,25,0,35.0,5,,,,,0,15,15,60,,,,,,,,,,,,,,,,,,left,0,3.89947530295,001,3.0.3,59.72237401988184,ninosDelConv2,2019_Aug_10_0841,144,
