ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,4.44863731507,,,,,,,,,,,,,,,,,,,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,,,,,,,,,,,,,,,space,26.6462790305,,,,,,,,,,,,,,,,,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,,,,,,,,,,,,,,,,,space,4.58381041978,,,,,,,,,,,,,,,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,,,,,,,,,,,,,,,,,,,space,12.581551658,,,,,,,,,,,,,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,,,,,,,,,,,,,,,,,,,,,right,8.59882908314,,,,,,,,,,,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.13259202987,,,,,,,,,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
10,19,89,,,,,0,0,0,2,,,,,,,,,,,,,,,,,right,0,5.4815759724,,,,,,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
25,35,150,,,,,0,1,1,1,,,,,,,,,,,,,,,,,right,1,3.64839539956,,,,,,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
10,109,9,,,,,0,2,2,0,,,,,,,,,,,,,,,,,right,1,2.91778238304,,,,,,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,18.4979152456,,,,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,10,0,61.0,4,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,left,1,3.03332522791,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,10,0,149.0,89,,,,,0,1,1,24,,,,,,,,,,,,,,,,,,right,1,2.03278135695,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,10,0,19.0,11,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,left,0,4.08204695117,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,25,0,150.0,29,,,,,0,3,3,74,,,,,,,,,,,,,,,,,,left,1,2.28392808791,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,10,0,39.0,6,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,left,1,3.3989522513,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,10,0,109.0,149,,,,,0,5,5,28,,,,,,,,,,,,,,,,,,left,1,1.71629809681,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,25,0,150.0,89,,,,,0,6,6,84,,,,,,,,,,,,,,,,,,left,1,6.28254579101,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,25,0,35.0,150,,,,,0,7,7,85,,,,,,,,,,,,,,,,,,right,0,2.14995581657,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,25,0,150.0,4,,,,,0,8,8,64,,,,,,,,,,,,,,,,,,right,1,2.89983874001,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,10,0,39.0,29,,,,,0,9,9,11,,,,,,,,,,,,,,,,,,right,0,9.26558039803,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
,,,25,0,150.0,61,,,,,0,10,10,79,,,,,,,,,,,,,,,,,,right,1,1.91651215032,,,001,3.0.3,59.71540724351988,ninosDelConv2,2019_Aug_10_0850,147,
