ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro1.started,intro1.stopped,key1.keys,key1.rt,key1.started,key1.stopped,intro2.started,intro2.stopped,key2.keys,key2.rt,key2.started,key2.stopped,intro2_2.started,intro2_2.stopped,key2_2.keys,key2_2.rt,key2_2.started,key2_2.stopped,Intro2_3.started,Intro2_3.stopped,key2_3.keys,key2_3.rt,key2_3.started,key2_3.stopped,key3.keys,key3.rt,key3.started,key3.stopped,intro3.started,intro3.stopped,ss_am.started,ss_am.stopped,ss_del.started,ss_del.stopped,ll_am.started,ll_am.stopped,ll_del.started,ll_del.stopped,Intro4.started,Intro4.stopped,key4.keys,key4.rt,key4.started,key4.stopped,pregunta.started,pregunta.stopped,ssAm_P.started,ssAm_P.stopped,ssDel_P.started,ssDel_P.stopped,llAm_P.started,llAm_P.stopped,llDel_P.started,llDel_P.stopped,respP.keys,respP.corr,respP.rt,respP.started,respP.stopped,feedbackP.started,feedbackP.stopped,comienzo.started,comienzo.stopped,key5.keys,key5.rt,key5.started,key5.stopped,preguntaT.started,preguntaT.stopped,ssAm_T.started,ssAm_T.stopped,ssDel_T.started,ssDel_T.stopped,llAm_T.started,llAm_T.stopped,llDel_T.started,llDel_T.stopped,respT.keys,respT.corr,respT.rt,respT.started,respT.stopped,textfbT.started,textfbT.stopped,Gracias.started,Gracias.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,44.90427089994773,None,space,12.568269200040959,45.39442629995756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,187,2019_Aug_24_0850,ninosDelConv2,3.1.5,60.49540900084874,
,,,,,,,,,,,,,,,,,,,,,57.991771499975584,None,space,7.71925750002265,58.506609799922444,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,187,2019_Aug_24_0850,ninosDelConv2,3.1.5,60.49540900084874,
,,,,,,,,,,,,,,,,,,,,,,,,,,,66.25685039989185,None,space,2.1991897999541834,66.77276779990643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,187,2019_Aug_24_0850,ninosDelConv2,3.1.5,60.49540900084874,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9885792999994,None,space,2.550872400053777,69.50603940000292,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,187,2019_Aug_24_0850,ninosDelConv2,3.1.5,60.49540900084874,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,5.973096100031398,72.5890090999892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,187,2019_Aug_24_0850,ninosDelConv2,3.1.5,60.49540900084874,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.07346280000638,None,72.07346280000638,None,72.07346280000638,None,72.07346280000638,None,72.07346280000638,None,78.58718809997663,None,space,0.8762155000586063,79.10335709992796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,187,2019_Aug_24_0850,ninosDelConv2,3.1.5,60.49540900084874,
10,109,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.21647459990345,None,80.21647459990345,None,80.21647459990345,None,80.21647459990345,None,80.21647459990345,None,right,0,6.2518769999733195,80.72052629990503,None,87.00340329995379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,187,2019_Aug_24_0850,ninosDelConv2,3.1.5,60.49540900084874,
10,19,89,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.01921069994569,None,90.01921069994569,None,90.01921069994569,None,90.01921069994569,None,90.01921069994569,None,right,1,3.8868682000320405,90.51685399992857,None,94.43501289992128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,187,2019_Aug_24_0850,ninosDelConv2,3.1.5,60.49540900084874,
25,35,150,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.45149419992231,None,97.45149419992231,None,97.45149419992231,None,97.45149419992231,None,97.45149419992231,None,left,0,2.0451607999857515,97.94944729993585,None,100.02220829995349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,187,2019_Aug_24_0850,ninosDelConv2,3.1.5,60.49540900084874,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0166616999777,None,g,58.00710779998917,103.53291759989224,None,,,,,,,,,,,,,,,,,,,,,,,,001,187,2019_Aug_24_0850,ninosDelConv2,3.1.5,60.49540900084874,
