ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 43
,,,,,,,,,,,,,,,space,15.0650558547,,,,,,,,,,,,,,,,,,,,,1,3.0.3,60.13388068322353,ninosDelConv2,2019_Aug_10_0955,245,
,,,,,,,,,,,,,,,,,space,7.19897826214,,,,,,,,,,,,,,,,,,,1,3.0.3,60.13388068322353,ninosDelConv2,2019_Aug_10_0955,245,
,,,,,,,,,,,,,,,,,,,space,3.46709604061,,,,,,,,,,,,,,,,,1,3.0.3,60.13388068322353,ninosDelConv2,2019_Aug_10_0955,245,
,,,,,,,,,,,,,,,,,,,,,space,2.9184342057,,,,,,,,,,,,,,,1,3.0.3,60.13388068322353,ninosDelConv2,2019_Aug_10_0955,245,
,,,,,,,,,,,,,,,,,,,,,,,right,6.2330385907,,,,,,,,,,,,,1,3.0.3,60.13388068322353,ninosDelConv2,2019_Aug_10_0955,245,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.03433740482,,,,,,,,,,,1,3.0.3,60.13388068322353,ninosDelConv2,2019_Aug_10_0955,245,
10.0,19.0,89.0,,,,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,left,0.0,3.15072638693,,,,,,,,1,3.0.3,60.13388068322353,ninosDelConv2,2019_Aug_10_0955,245,
25.0,35.0,150.0,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,left,0.0,5.61834419449,,,,,,,,1,3.0.3,60.13388068322353,ninosDelConv2,2019_Aug_10_0955,245,
10.0,109.0,9.0,,,,,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,right,1.0,1.88382280897,,,,,,,,1,3.0.3,60.13388068322353,ninosDelConv2,2019_Aug_10_0955,245,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,31.6616667858,,,,,,1,3.0.3,60.13388068322353,ninosDelConv2,2019_Aug_10_0955,245,
