ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 41
,,,,,,,,,,,,,,,space,7.06569890492,,,,,,,,,,,,,,,,,,,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,,,,,,,,,,,,,,,space,11.3655656623,,,,,,,,,,,,,,,,,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,,,,,,,,,,,,,,,,,space,3.76724014804,,,,,,,,,,,,,,,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,,,,,,,,,,,,,,,,,,,space,4.01695407555,,,,,,,,,,,,,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,,,,,,,,,,,,,,,,,,,,,right,7.59979005996,,,,,,,,,,,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.1673287712,,,,,,,,,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
10.0,109.0,9.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,right,1.0,3.5176927736,,,,,,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
25.0,35.0,150.0,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,right,0.0,5.96673390549,,,,,,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
10.0,19.0,89.0,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,right,0.0,3.80049596075,,,,,,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,58.7234497871,,,,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,25.0,0.0,75.0,151.0,,,,,0.0,0.0,0.0,87.0,,,,,,,,,,,,,,,,,,right,0.0,12.9975926764,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,10.0,0.0,40.0,91.0,,,,,0.0,1.0,1.0,21.0,,,,,,,,,,,,,,,,,,right,1.0,4.39997758716,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,5.0,0.0,14.0,31.0,,,,,0.0,2.0,2.0,40.0,,,,,,,,,,,,,,,,,,left,1.0,3.3326069722,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,10.0,0.0,111.0,30.0,,,,,0.0,3.0,3.0,13.0,,,,,,,,,,,,,,,,,,right,1.0,2.53365986142,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,25.0,0.0,150.0,61.0,,,,,0.0,4.0,4.0,79.0,,,,,,,,,,,,,,,,,,left,1.0,1.68410138413,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,10.0,0.0,60.0,29.0,,,,,0.0,5.0,5.0,12.0,,,,,,,,,,,,,,,,,,left,1.0,1.53423714638,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,5.0,0.0,36.0,61.0,,,,,0.0,6.0,6.0,46.0,,,,,,,,,,,,,,,,,,right,1.0,1.93311825208,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,25.0,0.0,75.0,90.0,,,,,0.0,7.0,7.0,82.0,,,,,,,,,,,,,,,,,,right,1.0,6.99898371194,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,10.0,0.0,150.0,5.0,,,,,0.0,8.0,8.0,4.0,,,,,,,,,,,,,,,,,,left,1.0,3.06724467035,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,25.0,0.0,125.0,9.0,,,,,0.0,9.0,9.0,68.0,,,,,,,,,,,,,,,,,,left,1.0,1.73362449463,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,10.0,0.0,19.0,11.0,,,,,0.0,10.0,10.0,5.0,,,,,,,,,,,,,,,,,,left,1.0,5.36501767859,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
,,,10.0,0.0,20.0,90.0,,,,,0.0,11.0,11.0,20.0,,,,,,,,,,,,,,,,,,left,0.0,5.04992304556,1,3.0.3,60.01406801947613,ninosDelConv2,2019_Aug_10_1001,281,
