key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt,key_resp_4.keys,key_resp_4.rt
space,9.146885,space,31.601475,space,41.45137,space,3.01773,right,7.948975,space,3.424985,left,0.0,4.93649,0.0,0.0,0.0,2.0,1.0,10000.0,19000.0,89.0,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1.0,5.202975,0.0,1.0,1.0,0.0,1.0,10000.0,109000.0,9.0,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,2.286025,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,g,141.533715,,0.0,0.0,0.0,0.0,52.0,1.0,5000.0,0.0,56000.0,89.0,,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,1.0,1.0,25.0,1.0,10000.0,0.0,10000.0,150.0,1.967995,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,2.0,2.0,32.0,1.0,5000.0,0.0,54000.0,5.0,1.769235,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,3.0,3.0,71.0,1.0,25000.0,0.0,55000.0,30.0,4.522685,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,4.0,4.0,72.0,1.0,25000.0,0.0,75000.0,31.0,4.055395,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,5.0,5.0,27.0,1.0,10000.0,0.0,61000.0,150.0,1.61142,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,6.0,6.0,64.0,1.0,25000.0,0.0,150000.0,4.0,2.870245,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,7.0,7.0,70.0,1.0,25000.0,0.0,35000.0,30.0,3.136215,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,8.0,8.0,89.0,1.0,25000.0,0.0,150000.0,150.0,2.6026,,
