key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,4.5278,space,35.2077,space,17.6181,space,6.1413,right,8.4905,space,3.3726,,0,0,0,0,2,1,10000,19000,89,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,0,1,1,1,1,25000,35000,150,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,2.4144,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,0,2,2,0,1,10000,109000,9,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,4.5529,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,g,12.7121,left,0,3.1545,0,0,0,59,1,5000,0,151000,150
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.8826,0,1,1,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.9254,0,2,2,52,1,5000,0,56000,89
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.1926,0,3,3,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,0,3.6555,0,4,4,38,1,5000,0,104000,10
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.2372,0,5,5,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,0.7229,0,6,6,63,1,25000,0,125000,4
