ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 41
,,,,,,,,,,,,,,,space,9.24760000315,,,,,,,,,,,,,,,,,,,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,,,,,,,,,,,,,,,space,33.3432318158,,,,,,,,,,,,,,,,,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,,,,,,,,,,,,,,,,,space,29.2938557509,,,,,,,,,,,,,,,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,,,,,,,,,,,,,,,,,,,space,8.13206858514,,,,,,,,,,,,,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,,,,,,,,,,,,,,,,,,,,,right,6.18245014269,,,,,,,,,,,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,,,,,,,,,,,,,,,,,,,,,,,space,1.71668598661,,,,,,,,,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
10.0,109.0,9.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,left,1.0,3.46654500673,,,,,,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
10.0,19.0,89.0,,,,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,right,0.0,3.83381251898,,,,,,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
25.0,35.0,150.0,,,,,0.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,right,0.0,4.9660836421,,,,,,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,77.535393497,,,,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,55.0,30.0,,,,,0.0,0.0,0.0,71.0,,,,,,,,,,,,,,,,,,right,0.0,6.06583612412,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
