key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt
space,4.7456,space,21.3706,space,15.1338,space,4.5111,left,6.5395,space,2.7123,right,0,3.9393,0,0,0,2,1,10000,19000,89,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,6.7862,0,1,1,1,1,25000,35000,150,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,2.9866,0,2,2,0,1,10000,109000,9,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,g,5.5513,,0,0,0,0,13,1,10000,0,111000,30,
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,1,1,1,1,10000,0,39000,6,1.7013
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,2,2,74,1,25000,0,150000,29,3.4522
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,3,3,47,1,5000,0,56000,60,2.9012
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,4,4,24,1,10000,0,149000,89,2.3877
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,5,5,61,1,25000,0,55000,6,2.051
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,6,6,50,1,5000,0,15000,91,3.4747
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,7,7,12,1,10000,0,60000,29,1.701
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,8,8,62,1,25000,0,75000,5,1.4398
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,9,9,32,1,5000,0,54000,5,2.4229
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,10,10,21,1,10000,0,40000,91,2.0033
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,11,11,5,1,10000,0,19000,11,1.827
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,12,12,27,1,10000,0,61000,150,0.9079
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,13,13,25,1,10000,0,10000,150,4.424
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,14,14,17,1,10000,0,60000,60,5.8075
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,15,15,37,1,5000,0,56000,9,1.2195
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,16,16,16,1,10000,0,39000,59,2.2898
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,17,17,0,1,10000,0,20000,5,6.0038
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,18,18,71,1,25000,0,55000,30,3.5206
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,19,19,51,1,5000,0,35000,89,1.6358
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,20,20,57,1,5000,0,55000,151,2.8773
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,21,21,45,1,5000,0,15000,61,1.7899
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,22,22,44,1,5000,0,150000,30,2.0544
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,23,23,80,1,25000,0,35000,90,1.4011
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,24,24,85,1,25000,0,35000,150,4.7122
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,25,25,52,1,5000,0,56000,89,1.6511
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,26,26,31,1,5000,0,35000,6,3.3187
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,27,27,68,1,25000,0,125000,9,3.2206
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,28,28,60,1,25000,0,35000,5,3.6202
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,29,29,14,1,10000,0,150000,30,1.8068
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,30,30,76,1,25000,0,55000,60,1.645
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,31,31,10,1,10000,0,21000,31,2.1183
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,32,32,66,1,25000,0,55000,11,1.8677
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,33,33,48,1,5000,0,105000,60,3.5345
