key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,15.44742,space,8.97293,space,1.570495,space,12.041385,space,14.952825,space,4.853585,,0.0,0.0,0.0,0.0,2.0,1.0,10000.0,19000.0,89.0,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,0.0,1.0,1.0,0.0,1.0,10000.0,109000.0,9.0,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,6.703915,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,10.21445,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,g,27.675075,left,1.0,9.524455,0.0,0.0,0.0,28.0,1.0,10000.0,0.0,109000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,8.514585,0.0,1.0,1.0,87.0,1.0,25000.0,0.0,75000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,5.56948,0.0,2.0,2.0,34.0,1.0,5000.0,0.0,151000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,3.904595,0.0,3.0,3.0,48.0,1.0,5000.0,0.0,105000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,5.14598,0.0,4.0,4.0,57.0,1.0,5000.0,0.0,55000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,4.085135,0.0,5.0,5.0,81.0,1.0,25000.0,0.0,55000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.95017,0.0,6.0,6.0,82.0,1.0,25000.0,0.0,75000.0,90.0
