ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 43
,,,,,,,,,,,,,,,space,11.3482457348,,,,,,,,,,,,,,,,,,,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,,,,,,,,,,,,,,,space,28.8945369287,,,,,,,,,,,,,,,,,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,,,,,,,,,,,,,,,,,space,17.4307711446,,,,,,,,,,,,,,,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,,,,,,,,,,,,,,,,,,,space,5.51595679019,,,,,,,,,,,,,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,,,,,,,,,,,,,,,,,,,,,right,2.77131170454,,,,,,,,,,,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.16739953822,,,,,,,,,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
10.0,109.0,9.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,right,1.0,2.48245477863,,,,,,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
10.0,19.0,89.0,,,,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,left,0.0,4.6493232972,,,,,,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
25.0,35.0,150.0,,,,,0.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,left,1.0,5.94980352838,,,,,,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,131.392097736,,,,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,150.0,90.0,,,,,0.0,0.0,0.0,54.0,,,,,,,,,,,,,,,,,,left,1.0,1.54980476201,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,109.0,5.0,,,,,0.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,left,1.0,2.23305570893,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,54.0,5.0,,,,,0.0,2.0,2.0,32.0,,,,,,,,,,,,,,,,,,left,1.0,3.64968056604,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
