key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt
space,4.1037,space,0.4874,space,3.0348,space,0.6053,right,13.3787,space,3.0283,left,1.0,11.3308,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0,,0.0,1.0,1.0,1.0,1.0,25000.0,35000.0,150.0,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0,,0.0,2.0,2.0,2.0,1.0,10000.0,19000.0,89.0,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,g,4.5308,,0.0,0.0,0.0,0.0,56.0,1.0,5000.0,0.0,35000.0,150.0,
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,1.0,1.0,82.0,1.0,25000.0,0.0,75000.0,90.0,4.1573
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,2.0,2.0,73.0,1.0,25000.0,0.0,125000.0,31.0,7.0955
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,3.0,3.0,12.0,1.0,10000.0,0.0,60000.0,29.0,4.6689
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,4.0,4.0,54.0,1.0,5000.0,0.0,150000.0,90.0,1.3766
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,5.0,5.0,13.0,1.0,10000.0,0.0,111000.0,30.0,6.0872
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,6.0,6.0,67.0,1.0,25000.0,0.0,75000.0,10.0,2.851
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,7.0,7.0,89.0,1.0,25000.0,0.0,150000.0,150.0,1.5872
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,8.0,8.0,66.0,1.0,25000.0,0.0,55000.0,11.0,5.0561
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,9.0,9.0,26.0,1.0,10000.0,0.0,39000.0,150.0,2.3757
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,10.0,10.0,29.0,1.0,10000.0,0.0,151000.0,151.0,1.2907
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,11.0,11.0,17.0,1.0,10000.0,0.0,60000.0,60.0,4.4492
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,12.0,12.0,42.0,1.0,5000.0,0.0,56000.0,29.0,2.0412
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,13.0,13.0,35.0,1.0,5000.0,0.0,15000.0,11.0,2.0929
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,14.0,14.0,32.0,1.0,5000.0,0.0,54000.0,5.0,1.9938
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,15.0,15.0,75.0,1.0,25000.0,0.0,35000.0,60.0,2.0169
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,16.0,16.0,34.0,1.0,5000.0,0.0,151000.0,4.0,1.6068
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,17.0,17.0,15.0,1.0,10000.0,0.0,20000.0,59.0,1.9493
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,18.0,18.0,84.0,1.0,25000.0,0.0,150000.0,89.0,3.5988
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,19.0,19.0,81.0,1.0,25000.0,0.0,55000.0,90.0,6.7805
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,20.0,20.0,55.0,1.0,5000.0,0.0,14000.0,149.0,4.7036
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,21.0,21.0,37.0,1.0,5000.0,0.0,56000.0,9.0,7.6244
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,22.0,22.0,59.0,1.0,5000.0,0.0,151000.0,150.0,1.8847
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,23.0,23.0,65.0,1.0,25000.0,0.0,35000.0,11.0,8.5219
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,24.0,24.0,4.0,1.0,10000.0,0.0,150000.0,5.0,3.8999
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,25.0,25.0,11.0,1.0,10000.0,0.0,39000.0,29.0,6.2834
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,26.0,26.0,28.0,1.0,10000.0,0.0,109000.0,149.0,7.1265
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,27.0,27.0,25.0,1.0,10000.0,0.0,10000.0,150.0,2.6019
