key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,respT_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del,key_resp_4_keys,key_resp_4_rt
space,17.32182,space,4.94234,space,10.299615,space,3.27008,right,5.42598,space,3.2567,right,0.0,12.731315,0.0,0.0,0.0,2.0,1.0,10000.0,19000.0,en 89 dias,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,8.47948,0.0,1.0,1.0,1.0,1.0,25000.0,35000.0,en 150 dias,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,3.87334,0.0,2.0,2.0,0.0,1.0,10000.0,109000.0,en 9 dias,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,g,15.239835,right,1.0,2.5988,0.0,0.0,0.0,24.0,1.0,10000.0,0.0,149000.0,en 89 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.06989,0.0,1.0,1.0,57.0,1.0,5000.0,0.0,55000.0,en 151 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.82506,0.0,2.0,2.0,47.0,1.0,5000.0,0.0,56000.0,en 60 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.922635,0.0,3.0,3.0,13.0,1.0,10000.0,0.0,111000.0,en 30 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.70845,0.0,4.0,4.0,4.0,1.0,10000.0,0.0,150000.0,en 5 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.836,0.0,5.0,5.0,87.0,1.0,25000.0,0.0,75000.0,en 151 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.253075,0.0,6.0,6.0,78.0,1.0,25000.0,0.0,125000.0,en 59 dias,,
