key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,respT_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del
space,1.822,space,0.704,space,0.569,space,0.669,space,0.622,space,0.472,right,1.0,0.22,0.0,0.0,0.0,1.0,1.0,25000.0,35000.0,en 150 dias,1,1111,2020-11-10_20h43.53.660,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,0.895,0.0,1.0,1.0,0.0,1.0,10000.0,109000.0,en 9 dias,1,1111,2020-11-10_20h43.53.660,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,0.35,0.0,2.0,2.0,2.0,1.0,10000.0,19000.0,en 89 dias,1,1111,2020-11-10_20h43.53.660,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,1111,2020-11-10_20h43.53.660,tareaTDv3,2020.2.5,MacIntel,60,g,1.1,right,1.0,1.548,0.0,0.0,0.0,77.0,1.0,25000.0,0.0,75000.0,en 59 dias
,,,,,,,,,,,,,,,,,,,,,,,1,1111,2020-11-10_20h43.53.660,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,2.072,0.0,1.0,1.0,84.0,1.0,25000.0,0.0,150000.0,en 89 dias
,,,,,,,,,,,,,,,,,,,,,,,1,1111,2020-11-10_20h43.53.660,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.752,0.0,2.0,2.0,6.0,1.0,10000.0,0.0,40000.0,en 10 dias
,,,,,,,,,,,,,,,,,,,,,,,1,1111,2020-11-10_20h43.53.660,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.31,0.0,3.0,3.0,42.0,1.0,5000.0,0.0,56000.0,en 29 dias
,,,,,,,,,,,,,,,,,,,,,,,1,1111,2020-11-10_20h43.53.660,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.119,0.0,4.0,4.0,89.0,1.0,25000.0,0.0,150000.0,en 150 dias
,,,,,,,,,,,,,,,,,,,,,,,1,1111,2020-11-10_20h43.53.660,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.394,0.0,5.0,5.0,25.0,1.0,10000.0,0.0,10000.0,en 150 dias
,,,,,,,,,,,,,,,,,,,,,,,1,1111,2020-11-10_20h43.53.660,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.234,0.0,6.0,6.0,68.0,1.0,25000.0,0.0,125000.0,en 9 dias
