key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,respT_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del
space,12.1527,space,24.9054,space,6.3433,space,1.0936,left,6.6572,space,1.4749,left,0.0,4.1017,0.0,0.0,0.0,2.0,1.0,10000.0,19000.0,89.0,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1.0,2.7643,0.0,1.0,1.0,0.0,1.0,10000.0,109000.0,9.0,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,2.9927,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,g,3.5672,right,1.0,2.5103,0.0,0.0,0.0,63.0,1.0,25000.0,0.0,125000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,1.3254,0.0,1.0,1.0,87.0,1.0,25000.0,0.0,75000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.9145,0.0,2.0,2.0,34.0,1.0,5000.0,0.0,151000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.3671,0.0,3.0,3.0,37.0,1.0,5000.0,0.0,56000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,1.0501,0.0,4.0,4.0,86.0,1.0,25000.0,0.0,55000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,2.2392,0.0,5.0,5.0,41.0,1.0,5000.0,0.0,35000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,1.5205,0.0,6.0,6.0,55.0,1.0,5000.0,0.0,14000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.9108,0.0,7.0,7.0,78.0,1.0,25000.0,0.0,125000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.7016,0.0,8.0,8.0,35.0,1.0,5000.0,0.0,15000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.2604,0.0,9.0,9.0,71.0,1.0,25000.0,0.0,55000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.0848,0.0,10.0,10.0,68.0,1.0,25000.0,0.0,125000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.0036,0.0,11.0,11.0,24.0,1.0,10000.0,0.0,149000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.894,0.0,12.0,12.0,30.0,1.0,5000.0,0.0,16000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.5092,0.0,13.0,13.0,17.0,1.0,10000.0,0.0,60000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.9337,0.0,14.0,14.0,44.0,1.0,5000.0,0.0,150000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.9011,0.0,15.0,15.0,33.0,1.0,5000.0,0.0,104000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.8399,0.0,16.0,16.0,6.0,1.0,10000.0,0.0,40000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,2.1529,0.0,17.0,17.0,77.0,1.0,25000.0,0.0,75000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.9254,0.0,18.0,18.0,65.0,1.0,25000.0,0.0,35000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,4.8116,0.0,19.0,19.0,53.0,1.0,5000.0,0.0,104000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,1.3577,0.0,20.0,20.0,49.0,1.0,5000.0,0.0,149000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,17.9068,0.0,21.0,21.0,75.0,1.0,25000.0,0.0,35000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,4.6339,0.0,22.0,22.0,38.0,1.0,5000.0,0.0,104000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,5.3507,0.0,23.0,23.0,5.0,1.0,10000.0,0.0,19000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,4.3429,0.0,24.0,24.0,50.0,1.0,5000.0,0.0,15000.0,91.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.9162,0.0,25.0,25.0,69.0,1.0,25000.0,0.0,150000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.0017,0.0,26.0,26.0,74.0,1.0,25000.0,0.0,150000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,7.1725,0.0,27.0,27.0,10.0,1.0,10000.0,0.0,21000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,1.0676,0.0,28.0,28.0,85.0,1.0,25000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,1.5606,0.0,29.0,29.0,76.0,1.0,25000.0,0.0,55000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,1.5503,0.0,30.0,30.0,18.0,1.0,10000.0,0.0,110000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.4737,0.0,31.0,31.0,4.0,1.0,10000.0,0.0,150000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,1.5543,0.0,32.0,32.0,88.0,1.0,25000.0,0.0,125000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,4.0066,0.0,33.0,33.0,80.0,1.0,25000.0,0.0,35000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.8155,0.0,34.0,34.0,31.0,1.0,5000.0,0.0,35000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,1.0672,0.0,35.0,35.0,52.0,1.0,5000.0,0.0,56000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,1.1405,0.0,36.0,36.0,84.0,1.0,25000.0,0.0,150000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.962,0.0,37.0,37.0,82.0,1.0,25000.0,0.0,75000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,1.7675,0.0,38.0,38.0,15.0,1.0,10000.0,0.0,20000.0,59.0
