key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
space,8.57175,space,27.53161,space,17.18023,space,4.9055,space,9.814805,space,3.585065,,0.0,0.0,0.0,0.0,1.0,1.0,25000.0,35000.0,150.0,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,0.0,1.0,1.0,0.0,1.0,10000.0,109000.0,9.0,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,4.389535,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,0.0,2.0,2.0,2.0,1.0,10000.0,19000.0,89.0,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,6.801995,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,g,50.38369,right,0.0,6.16073,0.0,0.0,0.0,50.0,1.0,5000.0,0.0,15000.0,91.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,3.822545,0.0,1.0,1.0,48.0,1.0,5000.0,0.0,105000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,7.055615,0.0,2.0,2.0,77.0,1.0,25000.0,0.0,75000.0,59.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,4.70878,0.0,3.0,3.0,11.0,1.0,10000.0,0.0,39000.0,29.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,9.61165,0.0,4.0,4.0,89.0,1.0,25000.0,0.0,150000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,3.08676,0.0,5.0,5.0,39.0,1.0,5000.0,0.0,149000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,3.23788,0.0,6.0,6.0,86.0,1.0,25000.0,0.0,55000.0,151.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,11.409055,0.0,7.0,7.0,10.0,1.0,10000.0,0.0,21000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.20621,0.0,8.0,8.0,67.0,1.0,25000.0,0.0,75000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,15.624445,0.0,9.0,9.0,22.0,1.0,10000.0,0.0,61000.0,89.0,,
