key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,2.8414,space,53.681235,space,4.895005,space,7.548955,left,9.625205,space,3.418165,,0.0,0.0,0.0,0.0,2.0,1.0,10000.0,19000.0,89.0,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1.0,0.0,1.0,1.0,0.0,1.0,10000.0,109000.0,9.0,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,5.925785,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,8.79274,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,g,33.42946,right,1.0,4.95672,0.0,0.0,0.0,76.0,1.0,25000.0,0.0,55000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,6.785895,0.0,1.0,1.0,53.0,1.0,5000.0,0.0,104000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,4.184605,0.0,2.0,2.0,72.0,1.0,25000.0,0.0,75000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,4.369015,0.0,3.0,3.0,8.0,1.0,10000.0,0.0,111000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,5.406405,0.0,4.0,4.0,35.0,1.0,5000.0,0.0,15000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,2.967425,0.0,5.0,5.0,51.0,1.0,5000.0,0.0,35000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,2.937475,0.0,6.0,6.0,81.0,1.0,25000.0,0.0,55000.0,90.0
