key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt,key_resp_4.keys,key_resp_4.rt
space,2.557,space,13.167,space,13.033,space,4.05,left,5.516,space,1.596,right,1.0,2.521,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,4.281,0.0,1.0,1.0,2.0,1.0,10000.0,19000.0,89.0,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,2.132,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,g,68.859,,0.0,0.0,0.0,0.0,58.0,1.0,5000.0,0.0,106000.0,152.0,,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,1.0,1.0,40.0,1.0,5000.0,0.0,14000.0,31.0,14.198,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.0,2.0,2.0,51.0,1.0,5000.0,0.0,35000.0,89.0,7.236,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,3.0,3.0,23.0,1.0,10000.0,0.0,110000.0,90.0,3.187,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,4.0,4.0,64.0,1.0,25000.0,0.0,150000.0,4.0,2.647,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,5.0,5.0,37.0,1.0,5000.0,0.0,56000.0,9.0,2.069,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,6.0,6.0,22.0,1.0,10000.0,0.0,61000.0,89.0,2.665,,
