key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,5.54832,space,37.70834,space,25.81767,space,5.44873,right,7.09918,space,2.87283,,0.0,0.0,0.0,0.0,1.0,1.0,25000.0,35000.0,150.0,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,0.0,1.0,1.0,2.0,1.0,10000.0,19000.0,89.0,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,3.454115,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,0.0,2.0,2.0,0.0,1.0,10000.0,109000.0,9.0,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,1.4297,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,g,63.94822,left,1.0,1.87272,0.0,0.0,0.0,47.0,1.0,5000.0,0.0,56000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,3.693555,0.0,1.0,1.0,85.0,1.0,25000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,2.174335,0.0,2.0,2.0,70.0,1.0,25000.0,0.0,35000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.60408,0.0,3.0,3.0,66.0,1.0,25000.0,0.0,55000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,0.956465,0.0,4.0,4.0,44.0,1.0,5000.0,0.0,150000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.964875,0.0,5.0,5.0,68.0,1.0,25000.0,0.0,125000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.93498,0.0,6.0,6.0,89.0,1.0,25000.0,0.0,150000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.70707,0.0,7.0,7.0,24.0,1.0,10000.0,0.0,149000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,1.612645,0.0,8.0,8.0,8.0,1.0,10000.0,0.0,111000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,1.285855,0.0,9.0,9.0,37.0,1.0,5000.0,0.0,56000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,0.9693,0.0,10.0,10.0,9.0,1.0,10000.0,0.0,151000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.00977,0.0,11.0,11.0,58.0,1.0,5000.0,0.0,106000.0,152.0
