key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt
space,26.8273,space,18.4589,space,10.5662,space,4.3432,right,19.7805,space,3.3512,right,1.0,12.3732,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,7.5323,0.0,1.0,1.0,1.0,1.0,25000.0,35000.0,150.0,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,7.932,0.0,2.0,2.0,2.0,1.0,10000.0,19000.0,89.0,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,g,4.6155,,0.0,0.0,0.0,0.0,46.0,1.0,5000.0,0.0,36000.0,61.0,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,1.0,1.0,63.0,1.0,25000.0,0.0,125000.0,4.0,3.3365
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,2.0,2.0,20.0,1.0,10000.0,0.0,20000.0,90.0,3.0892
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,3.0,3.0,60.0,1.0,25000.0,0.0,35000.0,5.0,5.6161
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,4.0,4.0,4.0,1.0,10000.0,0.0,150000.0,5.0,2.7624
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,5.0,5.0,24.0,1.0,10000.0,0.0,149000.0,89.0,5.3355
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,6.0,6.0,33.0,1.0,5000.0,0.0,104000.0,5.0,4.1264
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,7.0,7.0,41.0,1.0,5000.0,0.0,35000.0,31.0,2.6648
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,8.0,8.0,56.0,1.0,5000.0,0.0,35000.0,150.0,2.5357
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,9.0,9.0,77.0,1.0,25000.0,0.0,75000.0,59.0,6.6476
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,10.0,10.0,76.0,1.0,25000.0,0.0,55000.0,60.0,3.8297
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,11.0,11.0,34.0,1.0,5000.0,0.0,151000.0,4.0,0.9875
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,12.0,12.0,80.0,1.0,25000.0,0.0,35000.0,90.0,1.6374
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,13.0,13.0,48.0,1.0,5000.0,0.0,105000.0,60.0,1.7274
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,14.0,14.0,67.0,1.0,25000.0,0.0,75000.0,10.0,3.941
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,15.0,15.0,59.0,1.0,5000.0,0.0,151000.0,150.0,6.7138
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,16.0,16.0,15.0,1.0,10000.0,0.0,20000.0,59.0,4.3887
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,17.0,17.0,19.0,1.0,10000.0,0.0,149000.0,61.0,1.3526
