key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,5.48247,space,24.70537,space,3.172015,space,2.83166,right,8.450595,space,1.79971,,0,0,0,0,1,1,25000,35000,150,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,0,1,1,0,1,10000,109000,9,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,8.685945,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,0,2,2,2,1,10000,19000,89,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,3.718905,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,g,8.499765,left,0,4.710975,0,0,0,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,3.81875,0,1,1,12,1,10000,0,60000,29
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.184795,0,2,2,85,1,25000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,5.214735,0,3,3,46,1,5000,0,36000,61
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,4.289905,0,4,4,40,1,5000,0,14000,31
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.17051,0,5,5,11,1,10000,0,39000,29
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.261525,0,6,6,34,1,5000,0,151000,4
