ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,18.3647280775,,,,,,,,,,,,,,,,,,,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
,,,,,,,,,,,,,,,,,space,31.3797503232,,,,,,,,,,,,,,,,,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
,,,,,,,,,,,,,,,,,,,space,16.5146945353,,,,,,,,,,,,,,,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
,,,,,,,,,,,,,,,,,,,,,space,3.28367282418,,,,,,,,,,,,,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
,,,,,,,,,,,,,,,,,,,,,,,right,11.9986444355,,,,,,,,,,,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.55118631176,,,,,,,,,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
10,19,89,,,,,0,0,0,2,,,,,,,,,,,,,,,,,right,0,5.48314437509,,,,,,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
25,35,150,,,,,0,1,1,1,,,,,,,,,,,,,,,,,left,1,4.13426822904,,,,,,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
10,109,9,,,,,0,2,2,0,,,,,,,,,,,,,,,,,right,1,4.56675551261,,,,,,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,41.7092414339,,,,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
,,,10,0,59.0,9,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,left,1,4.50028195948,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
,,,25,0,55.0,6,,,,,0,1,1,61,,,,,,,,,,,,,,,,,,left,1,2.1667056492,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
,,,5,0,35.0,6,,,,,0,2,2,31,,,,,,,,,,,,,,,,,,right,1,6.84955701261,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
,,,25,0,75.0,151,,,,,0,3,3,87,,,,,,,,,,,,,,,,,,left,0,3.06696499026,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
,,,5,0,36.0,61,,,,,0,4,4,46,,,,,,,,,,,,,,,,,,left,0,5.18400361895,001,3.0.3,60.30694208362026,ninosDelConv2,2019_Aug_10_0841,201,
