key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt
space,3.497,space,5.045,space,16.071,space,5.825,right,2.858,space,1.266,right,0,2.97,0,0,0,2,1,10000,19000,89,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,6.537,0,1,1,1,1,25000,35000,150,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,3.362,0,2,2,0,1,10000,109000,9,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,g,120.195,,0,0,0,0,1,1,10000,0,39000,6,
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,1,1,22,1,10000,0,61000,89,4.96
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,2,2,21,1,10000,0,40000,91,4.804
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,3,3,88,1,25000,0,125000,149,6.272
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,4,4,51,1,5000,0,35000,89,6.12
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,5,5,49,1,5000,0,149000,59,7.501
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,6,6,6,1,10000,0,40000,10,3.499
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,7,7,75,1,25000,0,35000,60,3.637
