key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
space,8.57175,space,27.53161,space,17.18023,space,4.9055,space,9.814805,space,3.585065,,0,0,0,0,1,1,25000,35000,150,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,0,1,1,0,1,10000,109000,9,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,4.389535,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,0,2,2,2,1,10000,19000,89,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,6.801995,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,g,50.38369,right,0,6.16073,0,0,0,50,1,5000,0,15000,91,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.822545,0,1,1,48,1,5000,0,105000,60,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,7.055615,0,2,2,77,1,25000,0,75000,59,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,4.70878,0,3,3,11,1,10000,0,39000,29,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,9.61165,0,4,4,89,1,25000,0,150000,150,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.08676,0,5,5,39,1,5000,0,149000,10,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.23788,0,6,6,86,1,25000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,11.409055,0,7,7,10,1,10000,0,21000,31,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.20621,0,8,8,67,1,25000,0,75000,10,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,15.624445,0,9,9,22,1,10000,0,61000,89,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,7.664875,0,10,10,49,1,5000,0,149000,59,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.9162,0,11,11,36,1,5000,0,36000,9,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.520165,0,12,12,55,1,5000,0,14000,149,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.122735,0,13,13,31,1,5000,0,35000,6,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,16.640645,0,14,14,82,1,25000,0,75000,90,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.029365,0,15,15,1,1,10000,0,39000,6,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.083375,0,16,16,26,1,10000,0,39000,150,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,0,4.13421,0,17,17,51,1,5000,0,35000,89,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,4.0597,0,18,18,38,1,5000,0,104000,10,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.37003,0,19,19,78,1,25000,0,125000,59,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,0,9.438145,0,20,20,81,1,25000,0,55000,90,,
