ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,25.9288957978,,,,,,,,,,,,,,,,,,,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,,,,,,,,,,,,,,,space,15.9148605316,,,,,,,,,,,,,,,,,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,,,,,,,,,,,,,,,,,space,21.3461914118,,,,,,,,,,,,,,,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,,,,,,,,,,,,,,,,,,,space,5.56587111379,,,,,,,,,,,,,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,,,,,,,,,,,,,,,,,,,,,left,2.66705169447,,,,,,,,,,,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.04980018653,,,,,,,,,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
25,35,150,,,,,0,0,0,1,,,,,,,,,,,,,,,,,right,0,2.78306175757,,,,,,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
10,19,89,,,,,0,1,1,2,,,,,,,,,,,,,,,,,right,0,3.49956202449,,,,,,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
10,109,9,,,,,0,2,2,0,,,,,,,,,,,,,,,,,left,1,2.28316919529,,,,,,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,64.9550103479,,,,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,10,0,60.0,29,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,right,0,3.48276884854,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,5,0,149.0,10,,,,,0,1,1,39,,,,,,,,,,,,,,,,,,right,1,1.78336967702,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,10,0,10.01,150,,,,,0,2,2,25,,,,,,,,,,,,,,,,,,right,0,3.86602574191,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,5,0,56.0,89,,,,,0,3,3,52,,,,,,,,,,,,,,,,,,left,0,1.66671036137,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,10,0,110.0,60,,,,,0,4,4,18,,,,,,,,,,,,,,,,,,left,0,4.48218488123,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,5,0,56.0,29,,,,,0,5,5,42,,,,,,,,,,,,,,,,,,left,1,2.39985678403,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,10,0,111.0,30,,,,,0,6,6,13,,,,,,,,,,,,,,,,,,right,0,2.18352152919,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,25,0,55.0,151,,,,,0,7,7,86,,,,,,,,,,,,,,,,,,right,0,1.26680525613,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,25,0,150.0,89,,,,,0,8,8,84,,,,,,,,,,,,,,,,,,left,0,1.5501322666,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,5,0,149.0,59,,,,,0,9,9,49,,,,,,,,,,,,,,,,,,left,0,3.61565382243,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,25,0,75.0,10,,,,,0,10,10,67,,,,,,,,,,,,,,,,,,right,0,2.29992330284,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,5,0,35.0,89,,,,,0,11,11,51,,,,,,,,,,,,,,,,,,right,0,1.45009134768,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,25,0,75.0,31,,,,,0,12,12,72,,,,,,,,,,,,,,,,,,left,0,2.06678150676,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,5,0,15.0,11,,,,,0,13,13,35,,,,,,,,,,,,,,,,,,left,0,2.50013725297,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,25,0,125.0,89,,,,,0,14,14,83,,,,,,,,,,,,,,,,,,right,0,1.74994628108,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,25,0,125.0,59,,,,,0,15,15,78,,,,,,,,,,,,,,,,,,left,0,1.50001953414,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,25,0,125.0,4,,,,,0,16,16,63,,,,,,,,,,,,,,,,,,right,0,0.849913690006,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,10,0,111.0,10,,,,,0,17,17,8,,,,,,,,,,,,,,,,,,left,0,1.94987287407,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,5,0,14.0,31,,,,,0,18,18,40,,,,,,,,,,,,,,,,,,left,0,1.30005233083,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,10,0,149.0,61,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,right,0,1.21673776058,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,25,0,55.0,30,,,,,0,20,20,71,,,,,,,,,,,,,,,,,,left,0,1.46667067637,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,5,0,15.0,61,,,,,0,21,21,45,,,,,,,,,,,,,,,,,,right,0,1.20012810268,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,25,0,75.0,151,,,,,0,22,22,87,,,,,,,,,,,,,,,,,,right,0,2.11692251218,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,10,0,21.0,31,,,,,0,23,23,10,,,,,,,,,,,,,,,,,,right,0,1.2999911583,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,5,0,150.0,30,,,,,0,24,24,44,,,,,,,,,,,,,,,,,,right,1,5.06594462378,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,25,0,125.0,149,,,,,0,25,25,88,,,,,,,,,,,,,,,,,,right,0,0.683071216336,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,10,0,61.0,89,,,,,0,26,26,22,,,,,,,,,,,,,,,,,,right,0,1.63314200181,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,10,0,39.0,150,,,,,0,27,27,26,,,,,,,,,,,,,,,,,,left,0,2.08312077122,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,25,0,75.0,90,,,,,0,28,28,82,,,,,,,,,,,,,,,,,,right,0,1.5664977479,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,10,0,61.0,4,,,,,0,29,29,2,,,,,,,,,,,,,,,,,,right,0,4.39955760352,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
,,,25,0,55.0,11,,,,,0,30,30,66,,,,,,,,,,,,,,,,,,right,0,1.71658097359,,,001,3.0.3,60.02629005210018,ninosDelConv2,2019_Aug_10_0958,227,
