key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt,key_resp_4.keys,key_resp_4.rt
space,9.146885,space,31.601475,space,41.45137,space,3.01773,right,7.948975,space,3.424985,left,0,4.93649,0,0,0,2,1,10000,19000,89,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,5.202975,0,1,1,0,1,10000,109000,9,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,2.286025,0,2,2,1,1,25000,35000,150,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,g,141.533715,,0,0,0,0,52,1,5000,0,56000,89,,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,1,1,25,1,10000,0,10000,150,1.967995,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,2,2,32,1,5000,0,54000,5,1.769235,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,3,3,71,1,25000,0,55000,30,4.522685,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,4,4,72,1,25000,0,75000,31,4.055395,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,5,5,27,1,10000,0,61000,150,1.61142,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,6,6,64,1,25000,0,150000,4,2.870245,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,7,7,70,1,25000,0,35000,30,3.136215,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,8,8,89,1,25000,0,150000,150,2.6026,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,9,9,65,1,25000,0,35000,11,4.47371,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,10,10,7,1,10000,0,59000,9,1.658645,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,11,11,33,1,5000,0,104000,5,3.709765,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,12,12,4,1,10000,0,150000,5,1.992825,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,13,13,85,1,25000,0,35000,150,2.170565,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,14,14,56,1,5000,0,35000,150,3.7799,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,15,15,37,1,5000,0,56000,9,2.44475,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,16,16,86,1,25000,0,55000,151,4.79218,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,17,17,44,1,5000,0,150000,30,2.43496,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,18,18,9,1,10000,0,151000,11,1.20654,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,19,19,0,1,10000,0,20000,5,1.67925,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,20,20,78,1,25000,0,125000,59,2.716725,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,21,21,82,1,25000,0,75000,90,2.243005,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,22,22,51,1,5000,0,35000,89,1.33681,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,23,23,22,1,10000,0,61000,89,6.859945,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,24,24,16,1,10000,0,39000,59,2.561845,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,25,25,30,1,5000,0,16000,4,1.2549,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,26,26,14,1,10000,0,150000,30,1.575095,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,27,27,69,1,25000,0,150000,9,2.07659,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,28,28,6,1,10000,0,40000,10,2.30538,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,29,29,3,1,10000,0,109000,5,1.83764,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,30,30,40,1,5000,0,14000,31,2.605885,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,31,31,55,1,5000,0,14000,149,3.97109,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,32,32,12,1,10000,0,60000,29,2.60629,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,33,33,60,1,25000,0,35000,5,2.203465,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,34,34,21,1,10000,0,40000,91,3.609615,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,35,35,66,1,25000,0,55000,11,2.339645,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,36,36,77,1,25000,0,75000,59,2.486775,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,37,37,15,1,10000,0,20000,59,2.97612,,
