ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,9.24760000315,,,,,,,,,,,,,,,,,,,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,,,,,,,,,,,,,,,space,33.3432318158,,,,,,,,,,,,,,,,,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,,,,,,,,,,,,,,,,,space,29.2938557509,,,,,,,,,,,,,,,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,,,,,,,,,,,,,,,,,,,space,8.13206858514,,,,,,,,,,,,,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,,,,,,,,,,,,,,,,,,,,,right,6.18245014269,,,,,,,,,,,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,,,,,,,,,,,,,,,,,,,,,,,space,1.71668598661,,,,,,,,,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
10,109,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,left,1,3.46654500673,,,,,,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
10,19,89,,,,,0,1,1,2,,,,,,,,,,,,,,,,,right,0,3.83381251898,,,,,,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
25,35,150,,,,,0,2,2,1,,,,,,,,,,,,,,,,,right,0,4.9660836421,,,,,,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,77.535393497,,,,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,55.0,30,,,,,0,0,0,71,,,,,,,,,,,,,,,,,,right,0,6.06583612412,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,35.0,6,,,,,0,1,1,31,,,,,,,,,,,,,,,,,,left,1,2.35064706765,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,40.0,91,,,,,0,2,2,21,,,,,,,,,,,,,,,,,,right,1,5.96648254944,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,125.0,31,,,,,0,3,3,73,,,,,,,,,,,,,,,,,,left,0,9.61539647821,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,150.0,9,,,,,0,4,4,69,,,,,,,,,,,,,,,,,,right,1,2.63381868741,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,75.0,10,,,,,0,5,5,67,,,,,,,,,,,,,,,,,,right,1,2.43388500018,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,151.0,151,,,,,0,6,6,29,,,,,,,,,,,,,,,,,,right,1,6.39921298064,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,36.0,9,,,,,0,7,7,36,,,,,,,,,,,,,,,,,,right,1,15.0646435153,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,109.0,149,,,,,0,8,8,28,,,,,,,,,,,,,,,,,,right,1,2.71625829255,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,61.0,4,,,,,0,9,9,2,,,,,,,,,,,,,,,,,,left,1,1.48378488841,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,39.0,150,,,,,0,10,10,26,,,,,,,,,,,,,,,,,,left,0,1.68398845429,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,61.0,89,,,,,0,11,11,22,,,,,,,,,,,,,,,,,,left,0,3.216774147,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,35.0,5,,,,,0,12,12,60,,,,,,,,,,,,,,,,,,right,1,1.73369557085,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,61.0,150,,,,,0,13,13,27,,,,,,,,,,,,,,,,,,right,0,9.78162148548,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
