ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,32.6933784336,,,,,,,,,,,,,,,,,,,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,,,,,,,,,,,,,,,space,22.3960186294,,,,,,,,,,,,,,,,,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,,,,,,,,,,,,,,,,,space,16.4306593807,,,,,,,,,,,,,,,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,,,,,,,,,,,,,,,,,,,space,4.68273128709,,,,,,,,,,,,,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,,,,,,,,,,,,,,,,,,,,,right,9.95933193155,,,,,,,,,,,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.44995810417,,,,,,,,,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
10,109,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,None,0,,,,,,,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
10,19,89,,,,,0,1,1,2,,,,,,,,,,,,,,,,,left,1,4.26642848738,,,,,,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
25,35,150,,,,,0,2,2,1,,,,,,,,,,,,,,,,,right,1,6.76588975545,,,,,,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,260.101068724,,,,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,10,0,20.0,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,left,0,6.19904796639,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,5,0,104.0,10,,,,,0,1,1,38,,,,,,,,,,,,,,,,,,right,1,7.83231155947,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,10,0,40.0,91,,,,,0,2,2,21,,,,,,,,,,,,,,,,,,right,0,11.2652183971,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,10,0,151.0,11,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,left,0,7.68217816157,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,5,0,151.0,150,,,,,0,4,4,59,,,,,,,,,,,,,,,,,,left,1,3.65012208838,,,001,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
