ssAmount;llAmount;llDelay;ss_am;ss_del;ll_am;ll_del;Practice.thisRepN;Practice.thisTrialN;Practice.thisN;Practice.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key1.keys;key1.rt;key2.keys;key2.rt;key2_2.keys;key2_2.rt;key2_3.keys;key2_3.rt;key3.keys;key3.rt;key4.keys;key4.rt;respP.keys;respP.corr;respP.rt;key5.keys;key5.rt;respT.keys;respT.corr;respT.rt;session;psychopyVersion;frameRate;expName;date;participant;;ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,
;;;;;;;;;;;;;;;space;165.636.611.222;;;;;;;;;;;;;;;;;;;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,,,,,,,,,,,,,space,16.5636611222,,,,,,,,,,,,,,,,,,,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;;;;;;;;;;;;;;;space;339.609.019.822;;;;;;;;;;;;;;;;;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,,,,,,,,,,,,,,,space,33.9609019822,,,,,,,,,,,,,,,,,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;;;;;;;;;;;;;;;;;space;147.972.200.918;;;;;;;;;;;;;;;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,,,,,,,,,,,,,,,,,space,14.7972200918,,,,,,,,,,,,,,,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;;;;;;;;;;;;;;;;;;;space;748.222.345.347;;;;;;;;;;;;;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,,,,,,,,,,,,,,,,,,,space,7.48222345347,,,,,,,,,,,,,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;;;;;;;;;;;;;;;;;;;;;right;559.969.948.325;;;;;;;;;;;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,,,,,,,,,,,,,,,,,,,,,right,5.59969948325,,,,,,,,,,,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;;;;;;;;;;;;;;;;;;;;;;;space;193.344.731.675;;;;;;;;;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,,,,,,,,,,,,,,,,,,,,,,,space,1.93344731675,,,,,,,,,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
25;35;150;;;;;0;0;0;1;;;;;;;;;;;;;;;;;left;0;584.887.853.684;;;;;;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;25,35,150,,,,,0,0,0,1,,,,,,,,,,,,,,,,,left,0,5.84887853684,,,,,,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
10;19;89;;;;;0;1;1;2;;;;;;;;;;;;;;;;;left;0;486.598.783.964;;;;;;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;10,19,89,,,,,0,1,1,2,,,,,,,,,,,,,,,,,left,0,4.86598783964,,,,,,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
10;109;9;;;;;0;2;2;0;;;;;;;;;;;;;;;;;left;1;296.634.531.394;;;;;;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;10,109,9,,,,,0,2,2,0,,,,,,,,,,,,,,,,,left,1,2.96634531394,,,,,,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;g;106.984.284.301;;;;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,10.6984284301,,,,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;36.0;61;;;;;0;0;0;46;;;;;;;;;;;;;;;;;;right;1;38.163.727.643;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,36.0,61,,,,,0,0,0,46,,,,,,,,,,,,,,,,,,right,1,3.8163727643,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;19.0;11;;;;;0;1;1;5;;;;;;;;;;;;;;;;;;left;0;40.163.921.956;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,19.0,11,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,left,0,4.0163921956,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;111.0;30;;;;;0;2;2;13;;;;;;;;;;;;;;;;;;right;1;271.663.626.889;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,111.0,30,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,right,1,2.71663626889,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;35.0;11;;;;;0;3;3;65;;;;;;;;;;;;;;;;;;left;1;638.196.262.205;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,35.0,11,,,,,0,3,3,65,,,,,,,,,,,,,,,,,,left,1,6.38196262205,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;150.0;5;;;;;0;4;4;4;;;;;;;;;;;;;;;;;;right;1;326.651.248.429;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,150.0,5,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,right,1,3.26651248429,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;125.0;59;;;;;0;5;5;78;;;;;;;;;;;;;;;;;;left;1;404.986.850.452;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,125.0,59,,,,,0,5,5,78,,,,,,,,,,,,,,,,,,left,1,4.04986850452,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;151.0;11;;;;;0;6;6;9;;;;;;;;;;;;;;;;;;left;1;296.642.653.411;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,151.0,11,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,left,1,2.96642653411,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;10.01;150;;;;;0;7;7;25;;;;;;;;;;;;;;;;;;right;0;583.335.560.933;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,10.01,150,,,,,0,7,7,25,,,,,,,,,,,,,,,,,,right,0,5.83335560933,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;20.0;59;;;;;0;8;8;15;;;;;;;;;;;;;;;;;;right;0;528.204.415.133;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,20.0,59,,,,,0,8,8,15,,,,,,,,,,,,,,,,,,right,0,5.28204415133,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;40.0;91;;;;;0;9;9;21;;;;;;;;;;;;;;;;;;left;0;339.944.358.636;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,40.0,91,,,,,0,9,9,21,,,,,,,,,,,,,,,,,,left,0,3.39944358636,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;151.0;4;;;;;0;10;10;34;;;;;;;;;;;;;;;;;;right;1;218.254.360.743;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,151.0,4,,,,,0,10,10,34,,,,,,,,,,,,,,,,,,right,1,2.18254360743,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;55.0;60;;;;;0;11;11;76;;;;;;;;;;;;;;;;;;right;1;79.488.746.305;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,55.0,60,,,,,0,11,11,76,,,,,,,,,,,,,,,,,,right,1,7.9488746305,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;56.0;29;;;;;0;12;12;42;;;;;;;;;;;;;;;;;;left;1;30.487.956.712;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,56.0,29,,,,,0,12,12,42,,,,,,,,,,,,,,,,,,left,1,3.0487956712,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;55.0;11;;;;;0;13;13;66;;;;;;;;;;;;;;;;;;left;1;196.658.075.089;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,55.0,11,,,,,0,13,13,66,,,,,,,,,,,,,,,,,,left,1,1.96658075089,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;56.0;60;;;;;0;14;14;47;;;;;;;;;;;;;;;;;;right;1;238.338.192.878;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,56.0,60,,,,,0,14,14,47,,,,,,,,,,,,,,,,,,right,1,2.38338192878,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;21.0;31;;;;;0;15;15;10;;;;;;;;;;;;;;;;;;left;0;19.666.650.556;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,21.0,31,,,,,0,15,15,10,,,,,,,,,,,,,,,,,,left,0,1.9666650556,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;104.0;5;;;;;0;16;16;33;;;;;;;;;;;;;;;;;;right;1;143.326.071.417;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,104.0,5,,,,,0,16,16,33,,,,,,,,,,,,,,,,,,right,1,1.43326071417,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
