ssAmount;llAmount;llDelay;ss_am;ss_del;ll_am;ll_del;Practice.thisRepN;Practice.thisTrialN;Practice.thisN;Practice.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key1.keys;key1.rt;key2.keys;key2.rt;key2_2.keys;key2_2.rt;key2_3.keys;key2_3.rt;key3.keys;key3.rt;key4.keys;key4.rt;respP.keys;respP.corr;respP.rt;key5.keys;key5.rt;respT.keys;respT.corr;respT.rt;key_resp_4.keys;key_resp_4.rt;session;psychopyVersion;frameRate;expName;date;participant;;ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
;;;;;;;;;;;;;;;space;113.482.457.348;;;;;;;;;;;;;;;;;;;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,,,,,,,,,,,,,space,11.3482457348,,,,,,,,,,,,,,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;;;;;;;;;;;;;;;space;288.945.369.287;;;;;;;;;;;;;;;;;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,,,,,,,,,,,,,,,space,28.8945369287,,,,,,,,,,,,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;;;;;;;;;;;;;;;;;space;174.307.711.446;;;;;;;;;;;;;;;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,,,,,,,,,,,,,,,,,space,17.4307711446,,,,,,,,,,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;;;;;;;;;;;;;;;;;;;space;551.595.679.019;;;;;;;;;;;;;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,,,,,,,,,,,,,,,,,,,space,5.51595679019,,,,,,,,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;;;;;;;;;;;;;;;;;;;;;right;277.131.170.454;;;;;;;;;;;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,,,,,,,,,,,,,,,,,,,,,right,2.77131170454,,,,,,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;;;;;;;;;;;;;;;;;;;;;;;space;216.739.953.822;;;;;;;;;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,,,,,,,,,,,,,,,,,,,,,,,space,2.16739953822,,,,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
10;109;9;;;;;0;0;0;0;;;;;;;;;;;;;;;;;right;1;248.245.477.863;;;;;;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;10,109,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,right,1,2.48245477863,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
10;19;89;;;;;0;1;1;2;;;;;;;;;;;;;;;;;left;0;46.493.232.972;;;;;;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;10,19,89,,,,,0,1,1,2,,,,,,,,,,,,,,,,,left,0,4.6493232972,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
25;35;150;;;;;0;2;2;1;;;;;;;;;;;;;;;;;left;1;594.980.352.838;;;;;;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;25,35,150,,,,,0,2,2,1,,,,,,,,,,,,,,,,,left,1,5.94980352838,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;g;131.392.097.736;;;;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,131.392097736,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
