key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt
space,4.1037,space,0.4874,space,3.0348,space,0.6053,right,13.3787,space,3.0283,left,1,11.3308,0,0,0,0,1,10000,109000,9,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,0,1,1,1,1,25000,35000,150,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,0,2,2,2,1,10000,19000,89,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,g,4.5308,,0,0,0,0,56,1,5000,0,35000,150,
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,1,1,82,1,25000,0,75000,90,4.1573
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,2,2,73,1,25000,0,125000,31,7.0955
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,3,3,12,1,10000,0,60000,29,4.6689
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,4,4,54,1,5000,0,150000,90,1.3766
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,5,5,13,1,10000,0,111000,30,6.0872
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,6,6,67,1,25000,0,75000,10,2.851
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,7,7,89,1,25000,0,150000,150,1.5872
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,8,8,66,1,25000,0,55000,11,5.0561
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,9,9,26,1,10000,0,39000,150,2.3757
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,10,10,29,1,10000,0,151000,151,1.2907
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,11,11,17,1,10000,0,60000,60,4.4492
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,12,12,42,1,5000,0,56000,29,2.0412
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,13,13,35,1,5000,0,15000,11,2.0929
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,14,14,32,1,5000,0,54000,5,1.9938
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,15,15,75,1,25000,0,35000,60,2.0169
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,16,16,34,1,5000,0,151000,4,1.6068
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,17,17,15,1,10000,0,20000,59,1.9493
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,18,18,84,1,25000,0,150000,89,3.5988
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,19,19,81,1,25000,0,55000,90,6.7805
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,20,20,55,1,5000,0,14000,149,4.7036
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,21,21,37,1,5000,0,56000,9,7.6244
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,22,22,59,1,5000,0,151000,150,1.8847
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,23,23,65,1,25000,0,35000,11,8.5219
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,24,24,4,1,10000,0,150000,5,3.8999
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,25,25,11,1,10000,0,39000,29,6.2834
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,26,26,28,1,10000,0,109000,149,7.1265
