ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,5.69870915374,,,,,,,,,,,,,,,,,,,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,,,,,,,,,,,,,,,space,15.5805533608,,,,,,,,,,,,,,,,,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,,,,,,,,,,,,,,,,,space,18.4971431333,,,,,,,,,,,,,,,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,,,,,,,,,,,,,,,,,,,space,3.88262660045,,,,,,,,,,,,,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,,,,,,,,,,,,,,,,,,,,,left,6.86567148834,,,,,,,,,,,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,,,,,,,,,,,,,,,,,,,,,,,space,3.78296140518,,,,,,,,,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
25,35,150,,,,,0,0,0,1,,,,,,,,,,,,,,,,,right,0,7.33213112748,,,,,,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
10,109,9,,,,,0,1,1,0,,,,,,,,,,,,,,,,,right,1,3.29967362579,,,,,,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
10,19,89,,,,,0,2,2,2,,,,,,,,,,,,,,,,,right,0,4.43280695703,,,,,,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,33.6939145526,,,,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,10,0,59.0,9,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,left,1,4.19921986847,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,25,0,150.0,89,,,,,0,1,1,84,,,,,,,,,,,,,,,,,,right,1,5.61580013088,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,10,0,40.0,10,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,left,1,4.73192437412,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,5,0,15.0,61,,,,,0,3,3,45,,,,,,,,,,,,,,,,,,left,0,8.18233775233,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,5,0,14.0,149,,,,,0,4,4,55,,,,,,,,,,,,,,,,,,right,0,6.53244799166,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,25,0,35.0,60,,,,,0,5,5,75,,,,,,,,,,,,,,,,,,right,1,12.6973448489,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,5,0,104.0,5,,,,,0,6,6,33,,,,,,,,,,,,,,,,,,right,1,3.71638291627,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,25,0,35.0,30,,,,,0,7,7,70,,,,,,,,,,,,,,,,,,right,1,6.11577417105,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,10,0,150.0,5,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,left,1,2.45123072739,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
,,,5,0,56.0,9,,,,,0,9,9,37,,,,,,,,,,,,,,,,,,right,1,6.01644928091,,,001,3.0.3,60.208513878556275,ninosDelConv2,2019_Aug_10_0950,291,
