ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,79.0851009581,,,,,,,,,,,,,,,,,,,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,,,,,,,,,,,,,,,space,25.9291507332,,,,,,,,,,,,,,,,,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,,,,,,,,,,,,,,,,,space,9.09891775763,,,,,,,,,,,,,,,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,,,,,,,,,,,,,,,,,,,space,5.98305619741,,,,,,,,,,,,,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,,,,,,,,,,,,,,,,,,,,,right,6.51581827691,,,,,,,,,,,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,,,,,,,,,,,,,,,,,,,,,,,space,1.65236545494,,,,,,,,,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
25,35,150,,,,,0,0,0,1,,,,,,,,,,,,,,,,,left,0,4.18258758355,,,,,,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
10,109,9,,,,,0,1,1,0,,,,,,,,,,,,,,,,,left,1,3.93309765588,,,,,,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
10,19,89,,,,,0,2,2,2,,,,,,,,,,,,,,,,,left,0,3.56592229614,,,,,,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,35.528649631,,,,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,25,0,125.0,149,,,,,0,0,0,88,,,,,,,,,,,,,,,,,,right,0,8.98244395666,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,25,0,35.0,5,,,,,0,1,1,60,,,,,,,,,,,,,,,,,,right,1,6.11618078966,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,10,0,150.0,30,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,right,1,3.66706077661,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,5,0,15.0,61,,,,,0,3,3,45,,,,,,,,,,,,,,,,,,left,0,4.94967545057,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,10,0,39.0,150,,,,,0,4,4,26,,,,,,,,,,,,,,,,,,left,0,5.66633801349,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,10,0,110.0,90,,,,,0,5,5,23,,,,,,,,,,,,,,,,,,left,1,5.41627182858,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,25,0,75.0,5,,,,,0,6,6,62,,,,,,,,,,,,,,,,,,left,1,12.1482799938,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,25,0,150.0,29,,,,,0,7,7,74,,,,,,,,,,,,,,,,,,left,1,2.09922927571,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,5,0,104.0,10,,,,,0,8,8,38,,,,,,,,,,,,,,,,,,left,1,8.2150420011,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,25,0,55.0,30,,,,,0,9,9,71,,,,,,,,,,,,,,,,,,left,0,6.7328111208,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,10,0,61.0,89,,,,,0,10,10,22,,,,,,,,,,,,,,,,,,right,0,5.83464768901,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,10,0,111.0,30,,,,,0,11,11,13,,,,,,,,,,,,,,,,,,left,1,1.89988860441,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
,,,10,0,151.0,11,,,,,0,12,12,9,,,,,,,,,,,,,,,,,,left,1,1.83304691873,001,3.0.3,60.034780628739156,ninosDelConv2,2019_May_09_0757,114,
