ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,18.1154642545,,,,,,,,,,,,,,,,,,,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
,,,,,,,,,,,,,,,,,space,18.263179377,,,,,,,,,,,,,,,,,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
,,,,,,,,,,,,,,,,,,,space,17.7483066983,,,,,,,,,,,,,,,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
,,,,,,,,,,,,,,,,,,,,,space,6.81733264378,,,,,,,,,,,,,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
,,,,,,,,,,,,,,,,,,,,,,,right,13.2310667903,,,,,,,,,,,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
,,,,,,,,,,,,,,,,,,,,,,,,,space,4.41689816338,,,,,,,,,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
10,109,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,left,1,4.50012285949,,,,,,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
10,19,89,,,,,0,1,1,2,,,,,,,,,,,,,,,,,left,0,10.2160897583,,,,,,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
25,35,150,,,,,0,2,2,1,,,,,,,,,,,,,,,,,right,0,4.78339926957,,,,,,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,29.4121266924,,,,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
,,,10,0,110.0,60,,,,,0,0,0,18,,,,,,,,,,,,,,,,,,right,1,9.73246142524,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
,,,25,0,125.0,59,,,,,0,1,1,78,,,,,,,,,,,,,,,,,,left,0,13.5985363787,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
,,,5,0,104.0,5,,,,,0,2,2,33,,,,,,,,,,,,,,,,,,left,1,2.84983694134,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
,,,25,0,125.0,31,,,,,0,3,3,73,,,,,,,,,,,,,,,,,,None,0,,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
,,,5,0,35.0,150,,,,,0,4,4,56,,,,,,,,,,,,,,,,,,left,0,5.59932802548,,,001,3.0.3,60.230853028720986,ninosDelConv2,2019_Aug_10_0844,192,
