ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,17.8970622707,,,,,,,,,,,,,,,,,,,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
,,,,,,,,,,,,,,,,,space,41.9771944038,,,,,,,,,,,,,,,,,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
,,,,,,,,,,,,,,,,,,,space,14.0823250974,,,,,,,,,,,,,,,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
,,,,,,,,,,,,,,,,,,,,,space,5.56668750301,,,,,,,,,,,,,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
,,,,,,,,,,,,,,,,,,,,,,,left,7.26624469494,,,,,,,,,,,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.26753600454,,,,,,,,,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
10,19,89,,,,,0,0,0,2,,,,,,,,,,,,,,,,,right,1,8.16596463707,,,,,,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
25,35,150,,,,,0,1,1,1,,,,,,,,,,,,,,,,,right,1,9.63255097391,,,,,,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
10,109,9,,,,,0,2,2,0,,,,,,,,,,,,,,,,,right,1,3.21761547762,,,,,,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,7.24966277904,,,,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
,,,25,0,75.0,31,,,,,0,0,0,72,,,,,,,,,,,,,,,,,,right,1,3.70026607555,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
,,,25,0,55.0,90,,,,,0,1,1,81,,,,,,,,,,,,,,,,,,right,1,2.48392083123,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
,,,10,0,39.0,6,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,right,1,2.20035603538,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
,,,5,0,15.0,61,,,,,0,3,3,45,,,,,,,,,,,,,,,,,,right,0,4.71595044911,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
,,,10,0,151.0,151,,,,,0,4,4,29,,,,,,,,,,,,,,,,,,right,1,2.55050500901,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
,,,25,0,35.0,5,,,,,0,5,5,60,,,,,,,,,,,,,,,,,,right,1,1.38388392201,001,3.0.3,59.7087783713634,ninosDelConv2,2019_Aug_10_0823,284,
