ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,11.3482457348,,,,,,,,,,,,,,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,,,,,,,,,,,,,,,space,28.8945369287,,,,,,,,,,,,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,,,,,,,,,,,,,,,,,space,17.4307711446,,,,,,,,,,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,,,,,,,,,,,,,,,,,,,space,5.51595679019,,,,,,,,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,,,,,,,,,,,,,,,,,,,,,right,2.77131170454,,,,,,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.16739953822,,,,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
10,109,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,right,1,2.48245477863,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
10,19,89,,,,,0,1,1,2,,,,,,,,,,,,,,,,,left,0,4.6493232972,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
25,35,150,,,,,0,2,2,1,,,,,,,,,,,,,,,,,left,1,5.94980352838,,,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,131.392097736,,,,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,150.0,90,,,,,0,0,0,54,,,,,,,,,,,,,,,,,,left,1,1.54980476201,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,109.0,5,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,left,1,2.23305570893,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,54.0,5,,,,,0,2,2,32,,,,,,,,,,,,,,,,,,left,1,3.64968056604,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,15.0,11,,,,,0,3,3,35,,,,,,,,,,,,,,,,,,right,1,2.70012018597,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,55.0,30,,,,,0,4,4,71,,,,,,,,,,,,,,,,,,left,1,2.51630429178,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,35.0,6,,,,,0,5,5,31,,,,,,,,,,,,,,,,,,left,1,3.56614452368,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,125.0,9,,,,,0,6,6,68,,,,,,,,,,,,,,,,,,left,1,1.46684651729,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,110.0,90,,,,,0,7,7,23,,,,,,,,,,,,,,,,,,left,1,2.66656008596,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,150.0,5,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,right,1,4.00019431254,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,55.0,6,,,,,0,9,9,61,,,,,,,,,,,,,,,,,,right,1,2.71559325047,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,151.0,11,,,,,0,10,10,9,,,,,,,,,,,,,,,,,,left,1,3.21631087177,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,149.0,89,,,,,0,11,11,24,,,,,,,,,,,,,,,,,,right,0,2.66659452766,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,35.0,31,,,,,0,12,12,41,,,,,,,,,,,,,,,,,,left,1,5.94849114493,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,104.0,5,,,,,0,13,13,33,,,,,,,,,,,,,,,,,,right,1,1.25011360645,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,16.0,4,,,,,0,14,14,30,,,,,,,,,,,,,,,,,,left,1,3.96595668746,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,14.0,31,,,,,0,15,15,40,,,,,,,,,,,,,,,,,,right,0,3.23440870317,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,20.0,5,,,,,0,16,16,0,,,,,,,,,,,,,,,,,,right,1,2.26609404339,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,35.0,5,,,,,0,17,17,60,,,,,,,,,,,,,,,,,,left,1,4.13196159387,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,55.0,60,,,,,0,18,18,76,,,,,,,,,,,,,,,,,,right,0,5.13247770537,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,125.0,31,,,,,0,19,19,73,,,,,,,,,,,,,,,,,,left,1,2.65100066038,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,40.0,10,,,,,0,20,20,6,,,,,,,,,,,,,,,,,,left,1,1.99924896518,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,35.0,60,,,,,0,21,21,75,,,,,,,,,,,,,,,,,,left,0,1.88370424137,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,151.0,150,,,,,0,22,22,59,,,,,,,,,,,,,,,,,,left,0,3.23375790892,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,75.0,151,,,,,0,23,23,87,,,,,,,,,,,,,,,,,,left,0,6.1830818234,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,36.0,61,,,,,0,24,24,46,,,,,,,,,,,,,,,,,,left,0,5.19922624389,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,125.0,89,,,,,0,25,25,83,,,,,,,,,,,,,,,,,,right,1,2.46647331305,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,55.0,151,,,,,0,26,26,57,,,,,,,,,,,,,,,,,,left,1,7.96596953925,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
