key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt,key_resp_4.keys,key_resp_4.rt
space,102.7628,space,31.780425,space,34.901625,space,12.16741,right,12.220315,space,3.653925,right,0,8.18704,0,0,0,1,1,25000,35000,150,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,9.783715,0,1,1,2,1,10000,19000,89,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,6.479505,0,2,2,0,1,10000,109000,9,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,g,62.55569,,0,0,0,0,77,1,25000,0,75000,59,,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,1,1,48,1,5000,0,105000,60,0.253695,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,2,2,60,1,25000,0,35000,5,0.67389,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,3,3,78,1,25000,0,125000,59,0.653945,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,4,4,18,1,10000,0,110000,60,4.52526,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,5,5,88,1,25000,0,125000,149,0.10108,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,6,6,38,1,5000,0,104000,10,7.790725,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,7,7,27,1,10000,0,61000,150,12.92601,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,8,8,43,1,5000,0,106000,29,1.117035,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,9,9,85,1,25000,0,35000,150,0.107815,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,10,10,44,1,5000,0,150000,30,0.007935,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,11,11,76,1,25000,0,55000,60,0.903825,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,12,12,28,1,10000,0,109000,149,7.12441,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,13,13,41,1,5000,0,35000,31,3.960025,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,14,14,58,1,5000,0,106000,152,5.37211,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,15,15,25,1,10000,0,10000,150,0.480485,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,16,16,14,1,10000,0,150000,30,0.639115,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,17,17,8,1,10000,0,111000,10,0.48768,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,18,18,47,1,5000,0,56000,60,0.503405,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,19,19,31,1,5000,0,35000,6,0.61332,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,20,20,72,1,25000,0,75000,31,0.058345,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,21,21,66,1,25000,0,55000,11,1.67029,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,22,22,89,1,25000,0,150000,150,1.32695,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,23,23,79,1,25000,0,150000,61,4.66861,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,24,24,30,1,5000,0,16000,4,0.398495,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,25,25,64,1,25000,0,150000,4,0.59067,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,26,26,40,1,5000,0,14000,31,0.61802,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,27,27,71,1,25000,0,55000,30,0.079395,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,28,28,33,1,5000,0,104000,5,0.095365,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,29,29,70,1,25000,0,35000,30,0.09298,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,30,30,54,1,5000,0,150000,90,0.190255,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,31,31,6,1,10000,0,40000,10,0.935645,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,32,32,1,1,10000,0,39000,6,3.61839,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,33,33,61,1,25000,0,55000,6,0.14487,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,34,34,35,1,5000,0,15000,11,0.851155,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,35,35,22,1,10000,0,61000,89,0.017955,,
