key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,trials.order
space,11.955915,space,27.00082,space,34.328595,space,9.17537,right,11.993135,space,4.54235,right,0,6.37629,0,0,0,2,1,10000,19000,89,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,2.315145,0,1,1,1,1,25000,35000,150,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,1.853245,0,2,2,0,1,10000,109000,9,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,g,60.52913,,0,0,0,0,2,1,10000,0,61000,4,
,,,,,,,,,,,,,,,,,,,,,,,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0,0,1,1,26,1,10000,0,39000,150,
,,,,,,,,,,,,,,,,,,,,,,,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0,0,2,2,10,1,10000,0,21000,31,
,,,,,,,,,,,,,,,,,,,,,,,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0,0,3,3,41,1,5000,0,35000,31,
,,,,,,,,,,,,,,,,,,,,,,,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0,0,4,4,29,1,10000,0,151000,151,
,,,,,,,,,,,,,,,,,,,,,,,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0,0,5,5,39,1,5000,0,149000,10,
,,,,,,,,,,,,,,,,,,,,,,,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0,0,6,6,4,1,10000,0,150000,5,
,,,,,,,,,,,,,,,,,,,,,,,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0,0,7,7,44,1,5000,0,150000,30,
,,,,,,,,,,,,,,,,,,,,,,,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0,0,8,8,47,1,5000,0,56000,60,
,,,,,,,,,,,,,,,,,,,,,,,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0,0,9,9,38,1,5000,0,104000,10,
,,,,,,,,,,,,,,,,,,,,,,,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0,0,10,10,66,1,25000,0,55000,11,
,,,,,,,,,,,,,,,,,,,,,,,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0,0,11,11,21,1,10000,0,40000,91,
,,,,,,,,,,,,,,,,,,,,,,,002,1112,2020-11-13_09h49.36.460,tareaTDv3,2020.2.5,MacIntel,60,,,,0,1,0,90,83,1,25000,0,125000,89,89
