key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,6.00152,space,16.558775,space,30.525495,space,18.513995,right,19.6904,space,5.61448,,0,0,0,0,0,1,10000,109000,9,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,0,1,1,2,1,10000,19000,89,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,16.868385,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,0,2,2,1,1,25000,35000,150,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,8.39932,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,g,6.691525,left,1,7.75444,0,0,0,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,right,1,4.7483,0,1,1,78,1,25000,0,125000,59
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,0,4.311635,0,2,2,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.47646,0,3,3,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,0,3.682585,0,4,4,71,1,25000,0,55000,30
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,right,1,10.78197,0,5,5,27,1,10000,0,61000,150
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,0,10.661795,0,6,6,22,1,10000,0,61000,89
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.64844,0,7,7,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,0,8.014025,0,8,8,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.556115,0,9,9,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,,0,,0,10,10,46,1,5000,0,36000,61
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.53465,0,11,11,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.550565,0,12,12,70,1,25000,0,35000,30
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.55298,0,13,13,33,1,5000,0,104000,5
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.502435,0,14,14,85,1,25000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.40744,0,15,15,15,1,10000,0,20000,59
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,right,0,8.283035,0,16,16,51,1,5000,0,35000,89
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,1,11.733535,0,17,17,36,1,5000,0,36000,9
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.4499,0,18,18,59,1,5000,0,151000,150
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,1,9.08506,0,19,19,2,1,10000,0,61000,4
