key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,trials.order
space,3.267385,space,19.591575,space,0.74579,space,8.234445,right,7.734625,space,4.72194,right,0,0.31756,0,0,0,1,1,25000,35000,150,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,3.56496,0,1,1,2,1,10000,19000,89,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,5.0224,0,2,2,0,1,10000,109000,9,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,g,6.958435,right,1,1.97531,0,0,0,54,1,5000,0,150000,90,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.922745,0,1,1,59,1,5000,0,151000,150,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.79334,0,2,2,58,1,5000,0,106000,152,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1,6.25626,0,3,3,23,1,10000,0,110000,90,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.25493,0,4,4,46,1,5000,0,36000,61,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.49135,0,5,5,51,1,5000,0,35000,89,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.209625,0,6,6,31,1,5000,0,35000,6,
