key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
space,12.212625,space,31.640625,space,31.18405,space,9.240665,left,8.62399,space,6.01109,,0,0,0,0,0,1,10000,109000,9,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,0,1,1,2,1,10000,19000,89,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,3.53137,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,0,2,2,1,1,25000,35000,150,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,3.44339,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,g,44.718775,left,0,3.380485,0,0,0,81,1,25000,0,55000,90,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,0,11.09456,0,1,1,83,1,25000,0,125000,89,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,0,14.871255,0,2,2,51,1,5000,0,35000,89,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,11.76104,0,3,3,66,1,25000,0,55000,11,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,13.69196,0,4,4,16,1,10000,0,39000,59,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,13.14248,0,5,5,71,1,25000,0,55000,30,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,16.00173,0,6,6,10,1,10000,0,21000,31,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,13.919205,0,7,7,27,1,10000,0,61000,150,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,8.80872,0,8,8,53,1,5000,0,104000,90,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,8.98935,0,9,9,54,1,5000,0,150000,90,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,17.06737,0,10,10,79,1,25000,0,150000,61,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,9.64128,0,11,11,48,1,5000,0,105000,60,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,15.286025,0,12,12,77,1,25000,0,75000,59,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,5.163745,0,13,13,19,1,10000,0,149000,61,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,0,3.88141,0,14,14,45,1,5000,0,15000,61,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.751745,0,15,15,70,1,25000,0,35000,30,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,14.75849,0,16,16,89,1,25000,0,150000,150,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.83356,0,17,17,1,1,10000,0,39000,6,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,12.09456,0,18,18,8,1,10000,0,111000,10,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,12.305665,0,19,19,40,1,5000,0,14000,31,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,9.93986,0,20,20,37,1,5000,0,56000,9,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.739505,0,21,21,55,1,5000,0,14000,149,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,16.47673,0,22,22,5,1,10000,0,19000,11,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.397265,0,23,23,21,1,10000,0,40000,91,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.3018,0,24,24,85,1,25000,0,35000,150,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,0,14.53487,0,25,25,82,1,25000,0,75000,90,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.76026,0,26,26,65,1,25000,0,35000,11,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,13.059475,0,27,27,47,1,5000,0,56000,60,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,9.84787,0,28,28,57,1,5000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.989615,0,29,29,7,1,10000,0,59000,9,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.083645,0,30,30,31,1,5000,0,35000,6,,
