key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,9.3374,space,19.146,space,19.7049,space,20.6556,right,6.0624,space,3.6185,,0,0,0,0,0,1,10000,109000,9,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,0,1,1,2,1,10000,19000,89,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,5.251,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,0,2,2,1,1,25000,35000,150,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,3.2843,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,g,17.4841,left,1,4.7103,0,0,0,30,1,5000,0,16000,4
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.3255,0,1,1,13,1,10000,0,111000,30
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.6347,0,2,2,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.3009,0,3,3,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.3482,0,4,4,27,1,10000,0,61000,150
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.0007,0,5,5,52,1,5000,0,56000,89
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.8277,0,6,6,53,1,5000,0,104000,90
