key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,6.2992,space,23.3752,space,20.3217,space,4.6726,right,4.1171,space,2.2525,left,1,3.5543,0,0,0,0,1,10000,109000,9,1,384,2022-09-02_09h23.43.619,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,4.1543,0,1,1,2,1,10000,19000,89,1,384,2022-09-02_09h23.43.619,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,5.1546,0,2,2,1,1,25000,35000,150,1,384,2022-09-02_09h23.43.619,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,384,2022-09-02_09h23.43.619,tareaTDv3,2020.2.5,MacIntel,60,g,35.6022,left,1,6.1385,0,0,0,27,1,10000,0,61000,150
,,,,,,,,,,,,,,,,,,,,,,,1,384,2022-09-02_09h23.43.619,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,4.4546,0,1,1,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,,1,384,2022-09-02_09h23.43.619,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.9185,0,2,2,59,1,5000,0,151000,150
,,,,,,,,,,,,,,,,,,,,,,,1,384,2022-09-02_09h23.43.619,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,4.3553,0,3,3,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,,1,384,2022-09-02_09h23.43.619,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.3013,0,4,4,26,1,10000,0,39000,150
,,,,,,,,,,,,,,,,,,,,,,,1,384,2022-09-02_09h23.43.619,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,3.7071,0,5,5,72,1,25000,0,75000,31
,,,,,,,,,,,,,,,,,,,,,,,1,384,2022-09-02_09h23.43.619,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.4364,0,6,6,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,,1,384,2022-09-02_09h23.43.619,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,2.8051,0,7,7,24,1,10000,0,149000,89
,,,,,,,,,,,,,,,,,,,,,,,1,384,2022-09-02_09h23.43.619,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,4.4679,0,8,8,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,,1,384,2022-09-02_09h23.43.619,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.2508,0,9,9,54,1,5000,0,150000,90
